ID,title,year,director,lb_url,letterboxd_rating,lb_avg,imdb_rating,imdb_avg,tomatometer,rt_avg,metascore,mc_avg,tmdb_rating,tmdb_avg
14,The Artist,2012,Michel Hazanavicius,https://letterboxd.com/film/the-artist/,3.8,3.9,7.8,7.8,95,89,89,84,75,75
12,12 Years a Slave,2013,Steve McQueen,https://letterboxd.com/film/12-years-a-slave/,4.2,3.9,8.1,7.8,95,89,96,84,79,75
11,Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro Gonzalez Inarritu,https://letterboxd.com/film/birdman-or-the-unexpected-virtue-of-ignorance/,4,3.9,7.7,7.8,91,89,87,84,75,75
10,Spotlight,2015,Tom McCarthy,https://letterboxd.com/film/spotlight/,4.1,3.9,8.1,7.8,97,89,93,84,78,75
9,Moonlight,2016,Barry Jenkins,https://letterboxd.com/film/moonlight-2016/,4.2,3.9,7.4,7.8,98,89,99,84,74,75
8,The Shape of Water,2017,Guillermo del Toro,https://letterboxd.com/film/the-shape-of-water/,3.7,3.9,7.3,7.8,92,89,87,84,72,75
7,Green Book,2018,Peter Farrelly,https://letterboxd.com/film/green-book/,3.8,3.9,8.2,7.8,77,89,69,84,82,75
6,Parasite,2019,Bong Joon Ho,https://letterboxd.com/film/parasite-2019/,4.5,3.9,8.5,7.8,99,89,97,84,85,75
4,CODA,2021,Sian Heder,https://letterboxd.com/film/coda-2021/,3.9,3.9,8,7.8,94,89,72,84,79,75
5,Nomadland,2021,Chloe Zhao,https://letterboxd.com/film/nomadland/,3.8,3.9,7.3,7.8,93,89,87,84,72,75
3,Everything Everywhere All at Once,2022,"Daniel Kwan, Daniel Scheinert",https://letterboxd.com/film/everything-everywhere-all-at-once/,4.3,3.9,7.8,7.8,94,89,81,84,78,75
2,Oppenheimer,2023,Christopher Nolan,https://letterboxd.com/film/oppenheimer-2023/,4.2,3.9,8.3,7.8,93,89,90,84,81,75
1,Anora,2024,Sean Baker,https://letterboxd.com/film/anora/,3.9,3.9,7.5,7.8,93,89,91,84,71,75
